Sample name	shannon	part	type	family
RJ.542	11.003	Rhizosp.	Temperate grassland	Stipa
RJ.55	11.237	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.558	10.61	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.56	11.311	Rhizosp.	Temperate grassland	other
RJ.563	10.614	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.565	10.75	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.566	11.13	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.567	11.313	Rhizosp.	Warm-temperate grassland	other
RJ.569C	8.399	Rhizosp.	Temperate grassland	Agropyron
RJ.569Z	11.078	Rhizosp.	Temperate grassland	other
RJ.57	10.836	Rhizosp.	Temperate grassland	Stipa
RJ.570	10.36	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.571	10.716	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.575	10.926	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.577	9.32	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.578	10.748	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.579	11.158	Rhizosp.	Warm-temperate grassland	Stipa
RJ.58	10.294	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.59	10.528	Rhizosp.	Temperate grassland	Artemisia Linn.
RJ.6	10.509	Rhizosp.	Warm-temperate grassland	Stipa
RJ.60	10.688	Rhizosp.	Warm-temperate grassland	Stipa
RJ.600	10.856	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.61	11.219	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
RJ.67	11.278	Rhizosp.	Warm-temperate grassland	other
RJ.69	11.035	Rhizosp.	Temperate grassland	other
RJ.72	10.74	Rhizosp.	Temperate grassland	Stipa
RJ.74	10.013	Rhizosp.	Desert steppe	Artemisia Linn.
RJ.76	10.945	Rhizosp.	Desert steppe	Stipa
RJ.79	10.963	Rhizosp.	Desert steppe	Artemisia Linn.
RJ.82	10.491	Rhizosp.	Desert steppe	Artemisia Linn.
RJ.87	11.033	Rhizosp.	Desert steppe	Stipa
RJ.88	10.855	Rhizosp.	Desert steppe	Stipa
RJ.9	11.14	Rhizosp.	Warm-temperate grassland	Agropyron
RJ.90	9.102	Rhizosp.	Desert steppe	other
RJ.91	10.572	Rhizosp.	Desert steppe	Stipa
RJ.93	9.14	Rhizosp.	Desert steppe	Stipa
RJ.94	9.63	Rhizosp.	Desert steppe	Stipa
RJ.B001	10.833	Rhizosp.	Temperate grassland	Agropyron
RJ.B002	9.981	Rhizosp.	Desert steppe	Stipa
RJ.B003	11.074	Rhizosp.	Temperate grassland	Stipa
RJ.B583	10.604	Rhizosp.	Warm-temperate grassland	Stipa
RJ.B585	11.213	Rhizosp.	Warm-temperate grassland	Stipa
RJ.B585T	11.158	Rhizosp.	Warm-temperate grassland	Artemisia Linn.
S.101	11.311	Soil	Desert steppe	Stipa
S.103	10.641	Soil	Desert steppe	other
S.112	11.074	Soil	Temperate grassland	Stipa
S.113	11.167	Soil	Temperate grassland	Stipa
S.14	11.256	Soil	Warm-temperate grassland	Stipa
S.16	11.092	Soil	Warm-temperate grassland	Artemisia Linn.
S.21	11.176	Soil	Warm-temperate grassland	Agropyron
S.24	11.085	Soil	Temperate grassland	Artemisia Linn.
S.243	11.002	Soil	Temperate grassland	Agropyron
S.245	11.009	Soil	Temperate grassland	Stipa
S.246	10.767	Soil	Temperate grassland	Agropyron
S.247	11.223	Soil	Temperate grassland	Agropyron
S.24G	11.144	Soil	Temperate grassland	Artemisia Linn.
S.25	10.63	Soil	Temperate grassland	Stipa
S.252	11.304	Soil	Desert steppe	Stipa
S.253	10.901	Soil	Desert steppe	Reaumuria Linn.
S.260	11.176	Soil	Desert steppe	Stipa
S.27	11.174	Soil	Temperate grassland	Agropyron
S.313	10.875	Soil	Desert steppe	Agropyron
S.36	9.948	Soil	Temperate grassland	Stipa
S.4	10.821	Soil	Warm-temperate grassland	other
S.416	10.209	Soil	Desert steppe	Reaumuria Linn.
S.418	11.177	Soil	Desert steppe	Reaumuria Linn.
S.419	10.97	Soil	Desert steppe	Artemisia Linn.
S.41B	11.271	Soil	Temperate grassland	other
S.41D	10.989	Soil	Temperate grassland	Stipa
S.42	11.44	Soil	Temperate grassland	Agropyron
S.420	11.045	Soil	Desert steppe	Stipa
S.424	11.283	Soil	Desert steppe	Agropyron
S.488	11.224	Soil	Warm-temperate grassland	Artemisia Linn.
S.50	10.646	Soil	Temperate grassland	Artemisia Linn.
S.512	11.464	Soil	Warm-temperate grassland	Artemisia Linn.
S.513	11.416	Soil	Warm-temperate grassland	Artemisia Linn.
S.514	11.01	Soil	Warm-temperate grassland	Artemisia Linn.
S.517	10.534	Soil	Warm-temperate grassland	Artemisia Linn.
S.524	11.312	Soil	Temperate grassland	Artemisia Linn.
S.526	10.883	Soil	Temperate grassland	Agropyron
S.527	10.844	Soil	Warm-temperate grassland	Artemisia Linn.
S.534	10.981	Soil	Warm-temperate grassland	Stipa
S.542	10.844	Soil	Temperate grassland	Stipa
S.55	11.265	Soil	Warm-temperate grassland	Artemisia Linn.
S.558	11.293	Soil	Temperate grassland	Artemisia Linn.
S.56	10.966	Soil	Temperate grassland	other
S.563	11.262	Soil	Warm-temperate grassland	Artemisia Linn.
S.565	10.857	Soil	Temperate grassland	Artemisia Linn.
S.566	11.211	Soil	Warm-temperate grassland	Artemisia Linn.
S.567	11.386	Soil	Warm-temperate grassland	other
S.569C	10.605	Soil	Temperate grassland	Agropyron
S.569Z	8.889	Soil	Temperate grassland	other
S.57	11.098	Soil	Temperate grassland	Stipa
S.570	11.359	Soil	Temperate grassland	Artemisia Linn.
S.571	11.24	Soil	Warm-temperate grassland	Artemisia Linn.
S.575	11.062	Soil	Warm-temperate grassland	Artemisia Linn.
S.577	11.148	Soil	Warm-temperate grassland	Artemisia Linn.
S.578	11.166	Soil	Warm-temperate grassland	Artemisia Linn.
S.579	11.356	Soil	Warm-temperate grassland	Stipa
S.58	11.004	Soil	Temperate grassland	Artemisia Linn.
