pc vector number	part	type	shu	ke	pc vector number	PC1	PC2			
RB.101	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.101	0.116828527	-0.006342984			
RB.103	3Rhizopl.	Desert steppe	other	other	RB.103	-0.039094927	-0.023694957			
RB.112	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.112	0.168451684	0.05689712			
RB.113	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.113	0.204648934	0.050981764			
RB.14	3Rhizopl.	Warm-temperate grassland	Stipa	Gramineae	RB.14	0.145466238	0.087510291			
RB.16	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	other	RB.16	0.162474826	0.098184622			
RB.21	3Rhizopl.	Warm-temperate grassland	Agropyron	Gramineae	RB.21	0.159208117	0.07440327			
RB.24	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.24	0.145345496	0.092538212			
RB.243	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.243	0.160717736	0.021764264			
RB.245	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.245	0.118640247	0.055057051			
RB.246	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.246	0.00834314	-0.007920746			
RB.247	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.247	0.141811588	0.049621158			
RB.24G	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.24G	0.109167852	0.063615273			
RB.25	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.25	0.182602292	0.019026143			
RB.252	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.252	0.070980531	-0.048961188			
RB.253	3Rhizopl.	Desert steppe	Reaumuria Linn.	other	RB.253	-0.134745693	-0.13660668			
RB.260	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.260	-0.074431208	-0.10600496			
RB.27	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.27	0.168433314	0.054962096			
RB.313	3Rhizopl.	Desert steppe	Agropyron	Gramineae	RB.313	0.089105119	-0.018310871			
RB.36	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.36	0.106034618	0.038381393			
RB.4	3Rhizopl.	Warm-temperate grassland	other	Gramineae	RB.4	0.026310216	0.04241845			
RB.416	3Rhizopl.	Desert steppe	Reaumuria Linn.	other	RB.416	-0.137000405	-0.140761377			
RB.418	3Rhizopl.	Desert steppe	Reaumuria Linn.	other	RB.418	-0.126723066	-0.150053327			
RB.419	3Rhizopl.	Desert steppe	Artemisia Linn.	Asteraceae	RB.419	0.05599316	-0.047972335			
RB.41B	3Rhizopl.	Temperate grassland	other	other	RB.41B	0.119321951	0.047504317			
RB.41D	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.41D	0.161782836	0.020215783			
RB.42	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.42	-0.161981843	-0.127279432			
RB.420	3Rhizopl.	Desert steppe	Stipa	Gramineae	RB.420	0.107319149	0.020223209			
RB.424	3Rhizopl.	Desert steppe	Agropyron	Gramineae	RB.424	0.165543796	0.045636204			
RB.488	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.488	0.113208744	0.085013034			
RB.50	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.50	0.13114892	0.097753751			
RB.512	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.512	0.17252739	0.109265588			
RB.513	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.513	0.147048544	0.095858107			
RB.514	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.514	0.1459774	0.10145677			
RB.517	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.517	0.080741751	0.092611472			
RB.524	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.524	0.19685869	0.062827236			
RB.526	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.526	0.117077439	0.101813981			
RB.527	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.527	0.183702849	0.112666866			
RB.534	3Rhizopl.	Warm-temperate grassland	Stipa	Gramineae	RB.534	0.184308712	0.063021326			
RB.542	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.542	0.142317963	0.09844995			
RB.55	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.55	0.077311483	0.113919152			
RB.558	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.558	0.169850031	0.10964623			
RB.563	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.563	0.156337492	0.114691679			
RB.565	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.565	0.099337593	0.068076884			
RB.566	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.566	0.047629332	0.06787821			
RB.567	3Rhizopl.	Warm-temperate grassland	other	Gramineae	RB.567	0.143098255	0.089430094			
RB.569C	3Rhizopl.	Temperate grassland	Agropyron	Gramineae	RB.569C	0.12717282	0.069096467			
RB.569Z	3Rhizopl.	Temperate grassland	other	Gramineae	RB.569Z	0.201353402	0.077899624			
RB.57	3Rhizopl.	Temperate grassland	Stipa	Gramineae	RB.57	0.15251111	0.07595999			
RB.570	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.570	0.129022621	0.116031327			
RB.571	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.571	0.154278599	0.106289745			
RB.575	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.575	0.170735421	0.102238805			
RB.577	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.577	0.159698942	0.099644772			
RB.578	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.578	0.114241103	0.108547055			
RB.579	3Rhizopl.	Warm-temperate grassland	Stipa	Gramineae	RB.579	0.161673071	0.101630163			
RB.58	3Rhizopl.	Temperate grassland	Artemisia Linn.	Asteraceae	RB.58	0.067361375	0.07543022			
RB.59	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.59	0.059854878	0.022745885			
RB.6	3Rhizopl.	Warm-temperate grassland	Stipa	Gramineae	RB.6	0.166455362	0.082822079			
RB.60	3Rhizopl.	Warm-temperate grassland	Stipa	Gramineae	RB.60	-0.194246071	-0.158305943			
RB.600	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.600	0.126763583	0.101321951			
RB.61	3Rhizopl.	Warm-temperate grassland	Artemisia Linn.	Asteraceae	RB.61	0.155346509	0.117224896			
