#sampleID	Description	Env	SourceSink	Study	Details
RB.50	RB.50	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_phone_in_New_York_office_room_5
RB.512	RB.512	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_woman_phone_in_San_Francisco_office_room_3
RB.513	RB.513	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_man_phone_in_San_Francisco_office_room_16
RB.514	RB.514	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_woman_phone_in_San_Francisco_office_room_23
RB.517	RB.517	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_woman_phone_in_San_Francisco_office_room_24
RB.524	RB.524	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_phone_in_San_Francisco_office_room_10
RB.526	RB.526	Rhizopl.	source	Temperate grassland	Swab_sample_from_woman_phone_in_San_Francisco_office_room_2
RB.527	RB.527	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_man_phone_in_San_Francisco_office_room_28
RB.534	RB.534	Rhizopl.	source	Warm-temperate grassland	Swab_sample_from_man_phone_in_San_Francisco_office_room_29
RB.54	RB.54	Rhizopl.	source	Temperate grassland	Swab_sample_from_man_phone_in_San_Francisco_office_room_7
RB.542	RB.542	Rhizopl.	source	Temperate grassland	NA
RB.55	RB.55	Rhizopl.	source	Temperate grassland	NA
RB.558	RB.558	Rhizopl.	source	Warm-temperate grassland	NA
RB.563	RB.563	Rhizopl.	source	Warm-temperate grassland	NA
RB.565	RB.565	Rhizopl.	source	Temperate grassland	NA
RB.566	RB.566	Rhizopl.	source	Warm-temperate grassland	NA
RB.567	RB.567	Rhizopl.	source	Warm-temperate grassland	NA
RB.569C	RB.569C	Rhizopl.	source	Temperate grassland	NA
RB.569Z	RB.569Z	Rhizopl.	source	Temperate grassland	NA
RB.57	RB.57	Rhizopl.	source	Temperate grassland	NA
RB.570	RB.570	Rhizopl.	source	Temperate grassland	NA
RB.571	RB.571	Rhizopl.	source	Warm-temperate grassland	NA
RB.575	RB.575	Rhizopl.	source	Warm-temperate grassland	NA
RB.577	RB.577	Rhizopl.	source	Warm-temperate grassland	NA
RB.578	RB.578	Rhizopl.	source	Warm-temperate grassland	NA
RB.579	RB.579	Rhizopl.	source	Warm-temperate grassland	NA
RB.58	RB.58	Rhizopl.	source	Temperate grassland	NA
RB.59	RB.59	Rhizopl.	source	Temperate grassland	NA
RB.6	RB.6	Rhizopl.	source	Warm-temperate grassland	NA
RB.60	RB.60	Rhizopl.	source	Warm-temperate grassland	NA
RB.600	RB.600	Rhizopl.	source	Warm-temperate grassland	NA
RB.61	RB.61	Rhizopl.	source	Warm-temperate grassland	NA
RB.67	RB.67	Rhizopl.	source	Warm-temperate grassland	NA
RB.69	RB.69	Rhizopl.	source	Temperate grassland	NA
RB.72	RB.72	Rhizopl.	source	Temperate grassland	NA
RB.74	RB.74	Rhizopl.	source	Desert steppe	NA
RB.76	RB.76	Rhizopl.	source	Desert steppe	NA
RB.79	RB.79	Rhizopl.	source	Desert steppe	NA
RB.82	RB.82	Rhizopl.	source	Desert steppe	NA
RB.87	RB.87	Rhizopl.	source	Desert steppe	NA
RB.88	RB.88	Rhizopl.	source	Desert steppe	NA
RB.9	RB.9	Rhizopl.	source	Warm-temperate grassland	NA
RB.90	RB.90	Rhizopl.	source	Desert steppe	NA
RB.91	RB.91	Rhizopl.	source	Desert steppe	NA
RB.93	RB.93	Rhizopl.	source	Desert steppe	NA
RB.94	RB.94	Rhizopl.	source	Desert steppe	NA
RB.B001	RB.B001	Rhizopl.	source	Temperate grassland	NA
RB.B002	RB.B002	Rhizopl.	source	Desert steppe	NA
RB.B003	RB.B003	Rhizopl.	source	Temperate grassland	NA
RB.B583	RB.B583	Rhizopl.	source	Warm-temperate grassland	NA
RB.B585	RB.B585C	Rhizopl.	source	Warm-temperate grassland	NA
RB.B585T	RB.B585T	Rhizopl.	source	Warm-temperate grassland	NA
RJ.101	RJ.101	Rhizosp.	source	Desert steppe	NA
RJ.103	RJ.103	Rhizosp.	source	Desert steppe	NA
RJ.104	RJ.104	Rhizosp.	source	Desert steppe	NA
RJ.112	RJ.112	Rhizosp.	source	Temperate grassland	NA
RJ.113	RJ.113	Rhizosp.	source	Temperate grassland	NA
RJ.14	RJ.14	Rhizosp.	source	Warm-temperate grassland	NA
RJ.16	RJ.16	Rhizosp.	source	Warm-temperate grassland	NA
RJ.21	RJ.21	Rhizosp.	source	Warm-temperate grassland	NA
RJ.24	RJ.24	Rhizosp.	source	Temperate grassland	NA
RJ.243	RJ.243	Rhizosp.	source	Temperate grassland	NA
RJ.245	RJ.245	Rhizosp.	source	Temperate grassland	NA
RJ.246	RJ.246	Rhizosp.	source	Temperate grassland	NA
RJ.247	RJ.247	Rhizosp.	source	Temperate grassland	NA
RJ.24G	RJ.24G	Rhizosp.	source	Temperate grassland	NA
RJ.25	RJ.25	Rhizosp.	source	Temperate grassland	NA
RJ.252	RJ.252	Rhizosp.	source	Desert steppe	NA
RJ.253	RJ.253	Rhizosp.	source	Desert steppe	NA
RJ.260	RJ.260	Rhizosp.	source	Desert steppe	NA
RJ.27	RJ.27	Rhizosp.	source	Temperate grassland	NA
RJ.313	RJ.313	Rhizosp.	source	Desert steppe	NA
RJ.36	RJ.36	Rhizosp.	source	Temperate grassland	NA
RJ.4	RJ.4	Rhizosp.	source	Warm-temperate grassland	NA
RJ.416	RJ.416	Rhizosp.	source	Desert steppe	NA
RJ.418	RJ.418	Rhizosp.	source	Desert steppe	NA
RJ.419	RJ.419	Rhizosp.	source	Desert steppe	NA
RJ.41B	RJ.41B	Rhizosp.	source	Temperate grassland	NA
RJ.41D	RJ.41D	Rhizosp.	source	Temperate grassland	NA
RJ.42	RJ.42	Rhizosp.	source	Temperate grassland	NA
RJ.420	RJ.420	Rhizosp.	source	Desert steppe	NA
RJ.424	RJ.424	Rhizosp.	source	Desert steppe	NA
RJ.488	RJ.488	Rhizosp.	source	Warm-temperate grassland	NA
RJ.50	RJ.50B	Rhizosp.	source	Temperate grassland	NA
RJ.512	RJ.512	Rhizosp.	source	Warm-temperate grassland	NA
RJ.513	RJ.513	Rhizosp.	source	Warm-temperate grassland	NA
RJ.514	RJ.514	Rhizosp.	source	Warm-temperate grassland	NA
RJ.517	RJ.517	Rhizosp.	source	Warm-temperate grassland	NA
RJ.524	RJ.524	Rhizosp.	source	Temperate grassland	NA
RJ.526	RJ.526	Rhizosp.	source	Temperate grassland	NA
RJ.527	RJ.527	Rhizosp.	source	Warm-temperate grassland	NA
RJ.534	RJ.534	Rhizosp.	source	Warm-temperate grassland	NA
RJ.54	RJ.54	Rhizosp.	source	Temperate grassland	NA
RJ.542	RJ.542	Rhizosp.	source	Temperate grassland	NA
RJ.55	RJ.55	Rhizosp.	source	Temperate grassland	NA
RJ.558	RJ.558	Rhizosp.	source	Warm-temperate grassland	NA
RJ.56	RJ.56	Rhizosp.	source	Temperate grassland	NA
RJ.563	RJ.563	Rhizosp.	source	Warm-temperate grassland	NA
RJ.565	RJ.565	Rhizosp.	source	Temperate grassland	NA
RJ.566	RJ.566	Rhizosp.	source	Warm-temperate grassland	NA
RJ.567	RJ.567	Rhizosp.	source	Warm-temperate grassland	NA
RJ.569C	RJ.569C	Rhizosp.	source	Temperate grassland	NA
RJ.569Z	RJ.569Z	Rhizosp.	source	Temperate grassland	NA
