sampleID	part	type
S.59	Soil	Temperate grassland
S.6	Soil	Warm-temperate grassland
S.60	Soil	Warm-temperate grassland
S.600	Soil	Warm-temperate grassland
S.61	Soil	Warm-temperate grassland
S.67	Soil	Warm-temperate grassland
S.69	Soil	Temperate grassland
S.72	Soil	Temperate grassland
S.74	Soil	Desert steppe
S.76	Soil	Desert steppe
S.79	Soil	Desert steppe
S.82	Soil	Desert steppe
S.87	Soil	Desert steppe
S.88	Soil	Desert steppe
S.9	Soil	Warm-temperate grassland
S.90	Soil	Desert steppe
S.91	Soil	Desert steppe
S.93	Soil	Desert steppe
S.94	Soil	Desert steppe
S.B002	Soil	Desert steppe
S.B003	Soil	Temperate grassland
S.B583	Soil	Warm-temperate grassland
S.B585	Soil	Warm-temperate grassland
S.B585T	Soil	Warm-temperate grassland
